INCIDENT#,CONTAINED,COUNTY/UNIT,FIRE NAME,DATE START,DATE CONT.,ORIGIN DPA,ACRES BURNED CAL FIRE,ACRES BURNED OTHER,ACRES BURNED TOTAL,VEG. TYPE,CAUSE,STRUCTURES DEST.,STRUCTURES DAM.,FATALITIES FIRE,FATALITIES CIVIL
TUU-6158,100%,Tulare,Vander Bowen,06/29/01,06/29/01,CDF,596,,596,G,Vehicle,0,0,0,0
MMU-10898,100%,Merced,McNamammara,07/01/01,07/01/01,LOCAL,,700,700,G,Undetermined,0,0,0,0
BDU5620,100%,Inyo NF,McLaughlin,07/02/01,07/05/01,USFS,,2900,2900,na,Lightning,na,na,na,na
TCU-4586,100%,Calaveras,Lake,07/03/01,07/03/01,CDF,550,,550,B,Misc.,0,0,0,0
AEU-9653,100%,Sacramento,Payen,07/05/01,07/05/01,CDF,300,,300,G,Elec. Power,0,0,0,0
AEU-9735,100%,Amador,Sixteen,07/06/01,07/06/01,CDF,550,,550,GB,Undetermined,0,0,0,0
RRU-47010,100%,Riverside,Ballinger,07/09/01,07/09/01,CDF,350,,350,B,Undetermined,0,0,0,0
RRU-47545,100%,Riverside,Silent,07/11/01,07/12/01,CDF,548,,548,B,Equip. Use,0,0,0,0
YNP-1655,,Mariposa/Yosemite NP,Hoover Complex,07/13/01,,NPS,,8007,8007,,Lightning,,,,
MMU-11907,100%,Merced,Crane,07/16/01,07/16/01,LOCAL,0,900,900,G,Under Invest.,0,0,0,0
RRU-50309,100%,Riverside,Reche,07/22/01,07/23/01,CDF,1798,,1798,B,Vehicle,0,0,0,0
MMU-12399,100%,Mariposa/SNF,Briceburg,07/24/01,07/25/01,CDF,800,,800,GWB,Under Invest.,0,0,0,0
LMU-1992,100%,Lassen,Grasshopper,07/25/01,07/27/01,CDF,992,,992,GB,Lightning,0,0,0,0
BDU-6307,100%,San Bernardino,Shelby,07/27/01,07/28/01,CDF,75,654,729,B,Railroad,0,0,0,0
BTU-8762,100%,Lassen,Stream,07/26/01,07/26/01,USFS,0,3560,3560,na,Lightning,na,na,na,na
SHU-7073,100%,Shasta,Powerhouse,07/28/01,08/01/01,CDF,490,,490,T,Undetermined,1,0,0,0
AEU-11228,100%,Sacramento,Clay,07/31/01,07/31/01,CDF,535,,535,G,Misc.,0,0,0,0
SCU-3270,100%,Stanislaus,Del Puerto,08/03/01,08/04/01,CDF,400,,400,GWB,Campfire,0,0,0,0
MNF-667,100%,Mendocino NF/ColusaGlenn,Trough,08/08/01,08/20/01,USFS,,24970,24970,,Undetermined,30,,,
NOD-2187,100%,Modoc,Cowhead/BLM D438,08/08/01,08/09/01,BLM,,1670,1670,na,Lightning,na,na,na,na
LMU-2549,100%,Modoc,Modoc Complex,08/08/01,08/08/01,USFS,,5367,5367,na,Lightning,na,na,na,na
LMU-2178,100%,Lassen,BLM D431 Shaffer,08/08/01,08/08/01,BLM,,1100,1100,na,Lightning,na,na,na,na
SHU-7419,100%,Shasta,East Fire,08/09/01,08/10/01,CDF,624,,624,TB,Elec. Power,0,0,0,0
LMU-2228,100%,Lassen,Observation,08/09/01,08/12/02,USFS,,67700,67700,na,Lightning,na,na,na,na
LMU-2248,100%,Modoc NF,Blue Complex,08/09/01,08/10/02,USFS,,37950,37950,na,Lightning,1,na,na,na
NEU-14033,100%,Placer/Tahoe NF,GAP,08/12/01,08/17/01,USFS,,2462,2462,na,Under Invest.,1,na,na,na
BDU-6857,100%,Mono,Assist Crater,08/12/01,08/15/01,USFS,,5800,5800,na,Lightning,na,na,na,na
NEU-14053,100%,Nevada Desert,Buzz,08/12/01,08/12/01,BLM,,2206,2206,na,Lightning,na,na,na,na
MVU-5576,100%,Cleveland NF/MVU,Orosco,08/14/01,08/15/01,CDF/USFS,20,793,813,B,Under Invest,0,0,0,0
NEU-14446,100%,Placer,Ponderosa,08/17/01,08/23/01,CDF,2780,,2780,,Vehicle,0,0,0,0
MMU-14026,100%,Mariposa/Tuolumne,Creek,08/18/01,08/24/01,CDF,11095,,11095,TGWB,Arson,43,0,0,0
TCU- 6112,100%,Calaveras,Leonard,08/19/01,08/25/01,CDF,5167,,5167,W,Equip. Use,22,0,0,0
FKU-10044,100%,Sequoia NF/Fresno,Highway,08/19/01,08/29/01,USFS,30,4122,4152,B,Arson,8,na,na,na
MMU-14176,100%,Madera,North Fork,08/20/01,,CDF,475,2455,2930,,Under Invest.,3,2,0,0
AEU-12745,100%,El Dorado,Star,08/25/01,09/22/01,USFS,,16761,16761,na,Under Invest.,4,na,na,na
SHU-7984,100%,Trinity,Oregon,08/28/01,08/31/01,CDF,1680,,1680,,Undetermined,33,0,0,0
SHU-8086,100%,Trinity,Hyampon,08/31/01,09/05/01,USFS,,1065,1065,na,Undetermined,na,na,na,na
TCU-6632,100%,Calaveras,Darby,09/05/01,09/24/01,CDF,14280,,14280,TWGA,Undetermined,1,1,0,0
BTU- 10696,100%,Butte,Poe,09/06/01,09/12/01,CDF,8333,,8333,T,Elec. Power,133,3,0,0
KNF-3902,100%,Siskiyou,Happy Camp Cmplx,09/14/01,10/10/01,USFS,,8500,8500,TW,Lightning,,,,
BDU-8983,100%,Angeles NF,Stables,10/12/01,10/15/01,USFS,,6544,6544,na,Under Invest.,4,na,na,na
BTU-12700,100%,Butte,HWY 70,10/24/01,10/26/01,CDF,1711,,1711,T,Arson,0,0,0,0
TCU-8044,100%,Calaveras,Moore,10/27/01,10/31/01,CDF,580,,580,T,Undetermined,0,0,0,0
MMU-18913,100%,Merced,Crane,11/02/01,11/02/01,LOCAL,,330,330,AG. P.,Undetermined,0,0,0,0
MVU-8827,100%,San Diego,Bell,12/08/01,12/11/01,CDF,1204,,1204,B,Undetermined,5,0,0,2
