INCIDENT#,COUNTY/UNIT,FIRE NAME,DATE START,DATE CONT.,ORIGIN DPA,ACRES BURNED CAL FIRE,ACRES BURNED OTHER,ACRES BURNED TOTAL,VEG. TYPE,CAUSE,STRUCTURES DEST.,STRUCTURES DAM.,FATALITIES FIRE,FATALITIES CIVIL
NOD-3016,LASSEN,SPANISH,7/18/12,7/21/12,USFS,,,1169,GB,N/A,,,,
KNP-0072,FRESNO,WOODS CREEK,7/15/12,7/21/12,USFS,,,325,T,LIGHTNING,,,,
PNF--00998,PLUMAS,PEAK,7/29/12,8/2/12,USFS,,,800,TB,UI,,,,
SHF-2521,SHASTA,SALT CREEK,8/1/12,8/4/12,USFS,,,980,TBG,UI,1,,,
KNF-5426,SISKIYOU,DILLON,8/3/12,8/7/12,USFS,,,318,T,HUMAN,,,,
MDF-0429,MODOC,LAKE COMPLEX,8/5/12,8/9/12,USFS,,,1668,TGB,LIGHTNING,,,,
SQF-2476,KERN,PIUTE COMLEX,8/4/12,8/11/12,USFS,,,1783,TBG,LIGHTNING,,,,
SNF-1940,FRESNO,BEAR,8/5/12,8/12/12,USFS,,,835,TB,LIGHTNING,,,,
OVD-942,MONO,INDIAN,8/8/12,8/15/12,USFS,,,12574,TGB,LIGHTNING,,,,
LNP-3115,SHASTA,READING,7/23/12,8/21/12,NPS,,,28079,T,LIGHTNING,,,,
NOD-3596,MODOC,NELSON (W-1),8/17/12,8/21/12,NPS/BLM,,,3661,GB,LIGHTNING,,,,
SHF-2735,SHASTA,BAGLEY COMPLEX,8/18/12,8/22/12,NPS,,,1000,T,LIGHTNING,,,,
CDD-11542,KERN,JAWBONE COMPLEX,8/10/12,8/22/12,NPS/BLM,,,1218,TB,LIGHTNING,19,9,,,
MDF-521,MODOC,ANTELOPE,8/21/12,8/25/12,NPS,,,650,TG,LIGHTNING,,,,
FWF-120680,MODOC,BARRYPOINT (CA LAND),8/6/12,8/28/12,USFS,,,38394,T,LIGHTNING,3
NOD-3490,LASSEN,RUSH,8/12/12,8/31/12,NPS/BLM,,,271911,GB,LIGHTNING,,1,,
STF-2954,CALAVERAS,RAMSEY,8/11/12,8/31/12,USFS,,,1137,T,CAMPFIRE,,,,
PNF -1001,PLUMAS/LASSEN,CHIPS,7/29/12,8/31/12,USFS,,,75217,TBG,UI,9,,,
KNF-5659,SISKIYOU,FORT COMPLEX,8/5/12,9/10/12,USFS,,,23653,TB,LIGHTNING,,,,
ANF-4803,LOS ANGELES,WILLIAMS,9/2/12,9/11/12,USFS,,,4192,B,UI,,,,
SHF-2894,TRINITY,STAFFORD,9/5/12,9/13/12,USFS,,,4407,T,UI,,,,
SHF-2922,SHASTA,WARD,9/11/12,9/14/12,USFS,,,550,T,UI,,,,
SHF-2744,SHASTA,BAGLEY,8/18/12,9/1512,USFS,,,46011,T,LIGHTNING,,,,
MNF-1446,MENDOCINO,NORTH PASS,8/18/12,9/1612,USFS,,,41983,T,LIGHTNING,26,4,,
NOD-3916,LASSEN,LIKELY,9/5/12,9/14/12,USFS,,,9838,GTB,HUMAN,,,,
DVP-11569,INYO,SOUTH COMPLEX,8/10/12,10/16/12,USFS,,,453,B,LIGHTNING,,,,
BDF-16430,SAN BERNARDINO,DEVORE,11/5/12,11/6/12,USFS,,,335,GB,UI,1,,,
YNP-1473,MARIPOSA,CASCADE,6/16/12,11/26/12,NPS,,,1705,T,LIGHTNING,,,,
