COUNTY,4/1/10,1/1/11,1/1/12,1/1/13,1/1/14,1/1/15,1/1/16
Shasta              ,"177,223","177,694"," 177,693 "," 178,517 "," 178,943 ","179,036","178,592"
Sierra              ,"3,240","3,234"," 3,233 "," 3,219 "," 3,202 ","3,203","3,203"
Siskiyou            ,"44,900","44,854"," 44,841 "," 44,829 "," 44,811 ","44,776","44,739"
Solano              ,"413,344","413,438"," 415,862 "," 419,057 "," 423,003 ","426,704","431,498"
Sonoma              ,"483,878","485,417"," 487,487 "," 491,650 "," 495,253 ","499,352","501,959"
Stanislaus          ,"514,453","517,748"," 521,620 "," 525,811 "," 530,071 ","534,902","540,214"
Sutter              ,"94,737","95,591"," 95,948 "," 96,187 "," 96,525 ","96,948","97,308"
Tehama              ,"63,463","63,531"," 63,584 "," 63,642 "," 63,752 ","63,845","63,934"
Trinity             ,"13,786","13,758"," 13,742 "," 13,737 "," 13,706 ","13,693","13,667"
Tulare              ,"442,179","445,662"," 450,672 "," 455,045 "," 458,765 ","461,589","466,339"
Tuolumne            ,"55,365","55,309"," 55,249 "," 55,186 "," 55,082 ","55,003","54,900"
Ventura             ,"823,318","829,511"," 834,253 "," 840,867 "," 846,705 ","850,491","856,508"
Yolo                ,"200,849","202,836"," 204,578 "," 207,380 "," 208,961 ","211,813","214,555"
Yuba                ,"72,155","72,520"," 72,906 "," 73,293 "," 73,650 ","74,003","74,345"
State Total,"37,253,956","37,536,835","37,881,357","38,239,207","38,567,459","38,907,642","39,255,883"
